         838171 function calls (837880 primitive calls) in 155.895 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      126    0.000    0.000    0.001    0.000 popen_spawn_win32.py:98(duplicate_for_child)
      121    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
      117    0.038    0.000    0.137    0.001 reductions.py:75(free_dead_references)
       72    0.000    0.000    0.000    0.000 connection.py:158(readable)
       72    0.000    0.000    0.000    0.000 connection.py:163(writable)
       67    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       58    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
       44    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       43    0.000    0.000    0.001    0.000 {built-in method builtins.next}
       42    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
       40    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       36    0.000    0.000    0.000    0.000 reduction.py:106(__init__)
       36    0.000    0.000    0.000    0.000 connection.py:168(fileno)
       36    0.000    0.000    0.001    0.000 connection.py:955(reduce_pipe_connection)
       36    0.000    0.000    0.000    0.000 {built-in method _winapi.OpenProcess}
       36    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       30    0.000    0.000    0.000    0.000 popen_spawn_win32.py:69(<genexpr>)
       27    0.000    0.000    0.000    0.000 util.py:48(debug)
       24    0.000    0.000    0.000    0.000 context.py:187(get_context)
       24    0.000    0.000    0.000    0.000 random.py:480(choices)
       24    0.000    0.000    0.000    0.000 random.py:493(<listcomp>)
       24    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
       24    0.000    0.000    0.001    0.000 tempfile.py:153(__next__)
       22    6.029    0.274    6.029    0.274 {built-in method _winapi.WaitForMultipleObjects}
       21    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
       21    0.000    0.000    0.001    0.000 synchronize.py:50(__init__)
       21    0.000    0.000    1.467    0.070 popen_spawn_win32.py:102(wait)
       21    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
       21    0.000    0.000    0.000    0.000 __init__.py:7(_make_name)
       21    1.467    0.070    1.467    0.070 {built-in method _winapi.WaitForSingleObject}
       20    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
